time, Quad.IMU.AX
0.574996,-0.051705
0.579996,-0.083568
0.584996,-0.070250
0.589996,0.351579
0.594996,0.420659
0.599996,-0.988195
0.604996,0.041201
0.609996,-0.320295
0.614996,0.085191
0.619996,0.338752
0.624996,-0.278603
0.629995,0.488454
0.634995,0.079277
0.639995,-1.074888
0.644995,-0.109701
0.649995,0.302683
0.654995,0.621965
0.659995,-0.078630
0.664995,0.583310
0.669995,0.061246
0.674995,0.199155
0.679995,-0.594076
0.684995,0.068189
0.689995,0.038323
0.694995,0.603666
0.699995,0.603820
0.704994,-0.195786
0.709994,0.660703
0.714994,-0.217462
0.719994,0.017054
0.724994,0.791761
0.729994,0.079078
0.734994,0.664284
0.739994,-0.634680
0.744994,0.672284
0.749994,0.006005
0.754994,-0.157490
0.759994,0.290227
0.764994,0.449161
0.769994,-0.437190
0.774994,0.756822
0.779994,-0.075101
0.784993,-0.116287
0.789993,0.544503
0.794993,-0.940732
0.799993,-0.132015
0.804993,0.127980
0.809993,-0.410820
0.814993,-0.257989
0.819993,-0.206035
0.824993,0.420206
0.829993,0.030601
0.834993,0.277178
0.839993,0.026410
0.844993,0.606919
0.849993,-0.106531
0.854993,-0.126660
0.859993,-0.364177
0.864992,-0.183100
0.869992,-0.484567
0.874992,0.100785
0.879992,-0.101639
0.884992,-0.397953
0.889992,-0.674690
0.894992,-0.700489
0.899992,0.474765
0.904992,-0.013173
0.909992,0.197898
0.914992,-0.322479
0.919992,-0.363672
0.924992,-0.250322
0.929992,0.482286
0.934992,-0.435463
0.939991,0.312457
0.944991,-0.227404
0.949991,1.263538
0.954991,-0.650030
0.959991,0.492215
0.964991,1.200292
0.969991,-0.717577
0.974991,0.981009
0.979991,-0.664395
0.984991,0.200916
0.989991,0.660391
0.994991,-0.577108
0.999991,0.279380
1.004991,0.186854
1.009991,0.042152
1.014991,0.974212
1.019992,0.645482
1.024992,-0.051966
1.029992,-0.642507
1.034992,0.048546
1.039993,0.030277
1.044993,-0.012967
1.049993,0.751417
1.054993,-0.035100
1.059994,-0.117479
1.064994,-0.019386
1.069994,-0.248151
1.074994,-0.128080
1.079994,0.604051
1.084995,0.165732
1.089995,-0.079500
1.094995,-0.051492
1.099995,0.511043
1.104996,-0.087768
1.109996,0.560500
1.114996,-0.214935
1.119996,-0.078612
1.124997,-0.309513
1.129997,-0.763696
1.134997,0.389566
1.139997,0.184439
1.144997,-0.304758
1.149998,1.043962
1.154998,0.400154
1.159998,0.005051
1.164998,-0.369700
1.169999,-0.127113
1.174999,0.455411
1.179999,0.257105
1.184999,-0.466518
1.190000,-0.436879
1.195000,-0.039488
1.200000,-0.170319
1.205000,0.068932
1.210001,0.091069
1.215001,-0.205231
1.220001,-0.832946
1.225001,0.703554
1.230001,0.008150
1.235002,-0.474494
1.240002,-0.547027
1.245002,-0.252853
1.250002,-1.034582
1.255003,0.249846
1.260003,0.913728
1.265003,-0.356507
1.270003,-0.051435
1.275004,0.516586
1.280004,0.452561
1.285004,0.299638
1.290004,-0.892185
1.295004,0.114389
1.300005,0.241960
1.305005,0.064158
1.310005,-0.527773
1.315005,0.049396
1.320006,-0.171000
1.325006,0.358019
1.330006,0.002369
1.335006,-0.278627
1.340007,0.215046
1.345007,-0.454067
1.350007,0.089901
1.355007,-0.771262
1.360008,-0.275452
1.365008,-0.208762
1.370008,-0.338039
1.375008,1.160752
1.380008,-0.624860
1.385009,0.165678
1.390009,-0.185055
1.395009,0.130900
1.400009,-0.061916
1.405010,1.119576
1.410010,-0.199416
1.415010,-0.412177
1.420010,0.412998
1.425011,-0.407947
1.430011,0.857626
1.435011,-0.087534
1.440011,-0.172411
1.445011,0.463870
1.450012,-0.030250
1.455012,-0.681571
1.460012,-0.240920
1.465012,0.193927
1.470013,0.182836
1.475013,0.658777
1.480013,-0.876081
1.485013,-0.472997
1.490014,0.414776
1.495014,0.547069
1.500014,0.127720
1.505014,0.041643
1.510015,0.438403
1.515015,-0.077193
1.520015,0.150798
1.525015,0.487830
1.530015,0.174808
